County,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
Androscoggin,110,81,103,103,97,116,181,176,189,36
Aroostook,92,33,54,44,43,32,34,58,42,19
Cumberland,282,161,250,290,289,298,416,495,546,120
Franklin,106,80,73,77,63,73,99,98,84,30
Hancock,205,162,193,172,171,200,218,218,242,123
Kennebec,182,156,170,192,155,154,232,237,224,94
Knox,33,23,35,55,33,51,58,70,56,54
Lincoln,87,83,95,83,75,69,92,94,97,39
Oxford,167,148,167,169,150,187,214,229,226,46
Penobscot,153,162,163,167,144,142,169,203,256,70
Piscataquis,39,45,29,30,22,32,45,62,35,21
Sagadahoc,71,35,38,39,40,41,68,71,73,23
Somerset,162,110,110,98,96,116,147,145,89,35
Waldo,68,43,51,44,50,60,90,82,77,46
Washington,83,86,98,79,76,81,90,127,112,59
York,248,174,207,202,213,278,443,489,500,188
